method,split,seed,mean_success,ci95_success,mean_safety_violation,ci95_safety_violation,mean_damage,ci95_damage,mean_fault_f1,ci95_fault_f1,mean_interaction_f1,ci95_interaction_f1,mean_false_isolation,ci95_false_isolation,mean_recovery_latency,ci95_recovery_latency,mean_total_cost,ci95_total_cost,groups
ensemble_uncertainty_gating,single_sensor_shift,5,0.5888,0.0189,0.2000,0.0278,0.1241,0.0163,0.4122,0.0146,0.3704,0.0197,0.2922,0.0149,0.6322,0.0201,0.4363,0.0239,35
ensemble_uncertainty_gating,single_sensor_shift,6,0.5748,0.0169,0.1864,0.0273,0.1194,0.0145,0.4058,0.0155,0.3554,0.0205,0.2741,0.0124,0.6317,0.0172,0.4346,0.0229,35
independent_fault_detectors,combined_stress,0,0.5112,0.0183,0.2612,0.0268,0.1639,0.0214,0.4357,0.0182,0.2636,0.0108,0.3218,0.0190,0.8596,0.0247,0.5477,0.0304,35
independent_fault_detectors,combined_stress,1,0.5048,0.0200,0.2636,0.0257,0.1905,0.0208,0.4248,0.0147,0.2650,0.0147,0.3340,0.0199,0.8556,0.0258,0.5492,0.0303,35
independent_fault_detectors,combined_stress,2,0.4969,0.0194,0.2524,0.0322,0.1694,0.0223,0.4316,0.0184,0.2724,0.0144,0.3197,0.0158,0.8599,0.0243,0.5522,0.0313,35
independent_fault_detectors,combined_stress,3,0.5020,0.0209,0.2731,0.0300,0.1670,0.0155,0.4473,0.0197,0.2850,0.0153,0.3252,0.0130,0.8608,0.0273,0.5493,0.0309,35
independent_fault_detectors,combined_stress,4,0.4888,0.0192,0.2684,0.0295,0.1735,0.0205,0.4337,0.0181,0.2653,0.0163,0.3378,0.0155,0.8600,0.0245,0.5520,0.0301,35
independent_fault_detectors,combined_stress,5,0.5139,0.0169,0.2551,0.0296,0.1697,0.0230,0.4374,0.0182,0.2626,0.0159,0.3259,0.0166,0.8631,0.0255,0.5486,0.0310,35
independent_fault_detectors,combined_stress,6,0.4997,0.0243,0.2571,0.0294,0.1878,0.0183,0.4347,0.0217,0.2585,0.0137,0.3238,0.0158,0.8585,0.0255,0.5517,0.0309,35
independent_fault_detectors,delayed_sensor_recovery,0,0.5323,0.0193,0.2245,0.0240,0.1578,0.0147,0.4677,0.0201,0.2901,0.0178,0.2820,0.0175,0.8631,0.0202,0.5092,0.0242,35
independent_fault_detectors,delayed_sensor_recovery,1,0.5320,0.0190,0.2207,0.0271,0.1612,0.0179,0.4670,0.0198,0.2922,0.0224,0.3044,0.0180,0.8685,0.0190,0.5064,0.0245,35
independent_fault_detectors,delayed_sensor_recovery,2,0.5415,0.0215,0.2139,0.0212,0.1507,0.0198,0.4344,0.0179,0.3020,0.0149,0.2762,0.0181,0.8651,0.0208,0.5075,0.0249,35
independent_fault_detectors,delayed_sensor_recovery,3,0.5330,0.0185,0.2190,0.0240,0.1639,0.0154,0.4361,0.0173,0.2837,0.0177,0.3020,0.0175,0.8691,0.0222,0.5079,0.0254,35
independent_fault_detectors,delayed_sensor_recovery,4,0.5350,0.0190,0.2276,0.0269,0.1544,0.0190,0.4609,0.0151,0.2813,0.0148,0.2990,0.0149,0.8661,0.0211,0.5079,0.0247,35
independent_fault_detectors,delayed_sensor_recovery,5,0.5503,0.0231,0.2330,0.0283,0.1619,0.0158,0.4803,0.0170,0.3109,0.0172,0.2942,0.0183,0.8738,0.0198,0.5089,0.0246,35
independent_fault_detectors,delayed_sensor_recovery,6,0.5371,0.0221,0.2238,0.0243,0.1456,0.0173,0.4616,0.0171,0.2833,0.0195,0.2973,0.0138,0.8670,0.0190,0.5057,0.0246,35
independent_fault_detectors,nominal,0,0.6337,0.0200,0.1711,0.0221,0.1177,0.0135,0.5112,0.0186,0.3650,0.0149,0.2327,0.0151,0.6122,0.0139,0.3792,0.0185,35
independent_fault_detectors,nominal,1,0.6245,0.0173,0.1752,0.0222,0.1116,0.0127,0.5095,0.0175,0.3599,0.0149,0.2327,0.0163,0.6092,0.0127,0.3811,0.0178,35
independent_fault_detectors,nominal,2,0.6316,0.0151,0.1728,0.0216,0.1245,0.0128,0.5296,0.0225,0.3741,0.0159,0.2214,0.0157,0.6142,0.0141,0.3810,0.0173,35
independent_fault_detectors,nominal,3,0.6224,0.0172,0.1660,0.0214,0.1153,0.0137,0.5139,0.0187,0.3463,0.0166,0.2184,0.0180,0.6082,0.0140,0.3804,0.0179,35
independent_fault_detectors,nominal,4,0.6133,0.0202,0.1656,0.0178,0.1037,0.0120,0.5054,0.0199,0.3435,0.0180,0.2143,0.0154,0.6093,0.0152,0.3798,0.0174,35
independent_fault_detectors,nominal,5,0.6354,0.0193,0.1650,0.0208,0.1112,0.0140,0.5119,0.0177,0.3541,0.0226,0.2221,0.0138,0.6086,0.0144,0.3804,0.0176,35
independent_fault_detectors,nominal,6,0.6374,0.0174,0.1755,0.0168,0.1272,0.0110,0.5231,0.0187,0.3493,0.0154,0.2224,0.0146,0.6025,0.0145,0.3786,0.0173,35
independent_fault_detectors,paired_sensor_shift,0,0.5534,0.0184,0.2269,0.0326,0.1517,0.0165,0.4935,0.0196,0.2816,0.0199,0.3099,0.0172,0.6945,0.0206,0.4795,0.0261,35
independent_fault_detectors,paired_sensor_shift,1,0.5466,0.0157,0.2306,0.0311,0.1541,0.0178,0.4878,0.0186,0.2963,0.0166,0.2881,0.0154,0.7008,0.0236,0.4820,0.0264,35
independent_fault_detectors,paired_sensor_shift,2,0.5418,0.0182,0.2201,0.0254,0.1537,0.0171,0.4925,0.0226,0.2816,0.0198,0.3020,0.0151,0.6934,0.0232,0.4804,0.0276,35
independent_fault_detectors,paired_sensor_shift,3,0.5602,0.0169,0.2391,0.0249,0.1510,0.0174,0.4772,0.0176,0.2986,0.0196,0.3003,0.0169,0.6949,0.0246,0.4774,0.0270,35
independent_fault_detectors,paired_sensor_shift,4,0.5415,0.0207,0.2313,0.0274,0.1520,0.0193,0.4952,0.0195,0.2833,0.0177,0.2959,0.0157,0.6925,0.0240,0.4797,0.0276,35
independent_fault_detectors,paired_sensor_shift,5,0.5473,0.0151,0.2378,0.0285,0.1500,0.0168,0.4772,0.0148,0.2925,0.0175,0.2840,0.0145,0.6963,0.0222,0.4825,0.0271,35
independent_fault_detectors,paired_sensor_shift,6,0.5571,0.0169,0.2289,0.0232,0.1534,0.0172,0.5088,0.0168,0.2949,0.0154,0.3173,0.0207,0.6959,0.0230,0.4784,0.0277,35
independent_fault_detectors,single_sensor_shift,0,0.5976,0.0160,0.2221,0.0277,0.1503,0.0132,0.4653,0.0144,0.3558,0.0205,0.2469,0.0140,0.6663,0.0196,0.4469,0.0230,35
independent_fault_detectors,single_sensor_shift,1,0.5711,0.0180,0.2116,0.0223,0.1395,0.0134,0.4602,0.0200,0.3541,0.0169,0.2432,0.0154,0.6650,0.0195,0.4436,0.0227,35
independent_fault_detectors,single_sensor_shift,2,0.5663,0.0170,0.2269,0.0223,0.1439,0.0172,0.4704,0.0167,0.3340,0.0182,0.2395,0.0146,0.6574,0.0194,0.4442,0.0225,35
independent_fault_detectors,single_sensor_shift,3,0.5895,0.0181,0.2160,0.0290,0.1384,0.0174,0.4578,0.0152,0.3350,0.0217,0.2442,0.0167,0.6649,0.0197,0.4446,0.0229,35
independent_fault_detectors,single_sensor_shift,4,0.5901,0.0220,0.2259,0.0267,0.1418,0.0168,0.4571,0.0208,0.3350,0.0168,0.2371,0.0119,0.6642,0.0172,0.4445,0.0229,35
independent_fault_detectors,single_sensor_shift,5,0.5762,0.0178,0.2184,0.0263,0.1337,0.0130,0.4490,0.0170,0.3327,0.0181,0.2442,0.0190,0.6644,0.0188,0.4426,0.0222,35
independent_fault_detectors,single_sensor_shift,6,0.5891,0.0181,0.2160,0.0187,0.1415,0.0138,0.4646,0.0178,0.3469,0.0197,0.2279,0.0144,0.6622,0.0172,0.4433,0.0220,35
nominal_multimodal_policy,combined_stress,0,0.3711,0.0171,0.2891,0.0330,0.1806,0.0201,0.2122,0.0181,0.1480,0.0150,0.2109,0.0159,0.9233,0.0234,0.5588,0.0305,35
nominal_multimodal_policy,combined_stress,1,0.3912,0.0176,0.2813,0.0293,0.2031,0.0226,0.1929,0.0150,0.1412,0.0151,0.2133,0.0176,0.9264,0.0246,0.5593,0.0302,35
nominal_multimodal_policy,combined_stress,2,0.3677,0.0168,0.2789,0.0295,0.1976,0.0205,0.2163,0.0150,0.1418,0.0137,0.2293,0.0167,0.9226,0.0253,0.5582,0.0297,35
nominal_multimodal_policy,combined_stress,3,0.3759,0.0216,0.2748,0.0335,0.2007,0.0206,0.2082,0.0125,0.1466,0.0125,0.2262,0.0151,0.9279,0.0255,0.5585,0.0299,35
nominal_multimodal_policy,combined_stress,4,0.3854,0.0186,0.2929,0.0295,0.1969,0.0171,0.2184,0.0148,0.1486,0.0120,0.2139,0.0155,0.9218,0.0238,0.5606,0.0302,35
nominal_multimodal_policy,combined_stress,5,0.3840,0.0188,0.2759,0.0277,0.2000,0.0209,0.1993,0.0164,0.1442,0.0138,0.2228,0.0185,0.9248,0.0262,0.5612,0.0309,35
nominal_multimodal_policy,combined_stress,6,0.3656,0.0176,0.2878,0.0279,0.1922,0.0213,0.2037,0.0136,0.1310,0.0126,0.2116,0.0145,0.9248,0.0247,0.5577,0.0308,35
nominal_multimodal_policy,delayed_sensor_recovery,0,0.4299,0.0201,0.2480,0.0248,0.1772,0.0158,0.2259,0.0177,0.1551,0.0129,0.1799,0.0152,0.9332,0.0207,0.5143,0.0247,35
nominal_multimodal_policy,delayed_sensor_recovery,1,0.4323,0.0191,0.2415,0.0278,0.1731,0.0191,0.2313,0.0195,0.1619,0.0104,0.1925,0.0140,0.9345,0.0192,0.5153,0.0256,35
nominal_multimodal_policy,delayed_sensor_recovery,2,0.4361,0.0148,0.2486,0.0303,0.1827,0.0134,0.2446,0.0150,0.1667,0.0116,0.1888,0.0129,0.9325,0.0218,0.5149,0.0254,35
nominal_multimodal_policy,delayed_sensor_recovery,3,0.4347,0.0196,0.2639,0.0295,0.1959,0.0171,0.2156,0.0140,0.1687,0.0145,0.1888,0.0107,0.9352,0.0218,0.5157,0.0252,35
nominal_multimodal_policy,delayed_sensor_recovery,4,0.4422,0.0199,0.2677,0.0252,0.1861,0.0186,0.2286,0.0158,0.1524,0.0136,0.1922,0.0141,0.9315,0.0208,0.5142,0.0247,35
nominal_multimodal_policy,delayed_sensor_recovery,5,0.4150,0.0176,0.2500,0.0246,0.1976,0.0235,0.2282,0.0166,0.1895,0.0156,0.1898,0.0110,0.9357,0.0208,0.5155,0.0247,35
nominal_multimodal_policy,delayed_sensor_recovery,6,0.4299,0.0169,0.2500,0.0261,0.1867,0.0214,0.2235,0.0164,0.1670,0.0122,0.1956,0.0119,0.9325,0.0188,0.5139,0.0251,35
nominal_multimodal_policy,nominal,0,0.5544,0.0204,0.1901,0.0201,0.1395,0.0155,0.2956,0.0176,0.2435,0.0169,0.0952,0.0119,0.6715,0.0140,0.3835,0.0173,35
nominal_multimodal_policy,nominal,1,0.5167,0.0225,0.1912,0.0201,0.1364,0.0132,0.2867,0.0160,0.2337,0.0146,0.0912,0.0096,0.6765,0.0144,0.3827,0.0171,35
nominal_multimodal_policy,nominal,2,0.5680,0.0209,0.1827,0.0161,0.1391,0.0131,0.2905,0.0154,0.2354,0.0183,0.1088,0.0119,0.6755,0.0138,0.3823,0.0169,35
nominal_multimodal_policy,nominal,3,0.5238,0.0182,0.1864,0.0194,0.1408,0.0167,0.2816,0.0168,0.2337,0.0167,0.1020,0.0107,0.6761,0.0144,0.3810,0.0178,35
nominal_multimodal_policy,nominal,4,0.5442,0.0187,0.2031,0.0190,0.1493,0.0141,0.2837,0.0141,0.2303,0.0157,0.1037,0.0127,0.6751,0.0142,0.3848,0.0168,35
nominal_multimodal_policy,nominal,5,0.5466,0.0221,0.2061,0.0230,0.1456,0.0149,0.2844,0.0146,0.2449,0.0140,0.1034,0.0089,0.6741,0.0142,0.3808,0.0172,35
nominal_multimodal_policy,nominal,6,0.5350,0.0198,0.2065,0.0192,0.1384,0.0132,0.2925,0.0163,0.2296,0.0136,0.1088,0.0126,0.6696,0.0141,0.3822,0.0177,35
nominal_multimodal_policy,paired_sensor_shift,0,0.4313,0.0179,0.2517,0.0351,0.1670,0.0183,0.2446,0.0110,0.1711,0.0176,0.1827,0.0117,0.7666,0.0219,0.4878,0.0271,35
nominal_multimodal_policy,paired_sensor_shift,1,0.4361,0.0206,0.2656,0.0275,0.1895,0.0163,0.2415,0.0136,0.1592,0.0138,0.1871,0.0123,0.7680,0.0239,0.4910,0.0275,35
nominal_multimodal_policy,paired_sensor_shift,2,0.4327,0.0182,0.2435,0.0264,0.1653,0.0186,0.2612,0.0172,0.1687,0.0155,0.1963,0.0159,0.7647,0.0234,0.4850,0.0268,35
nominal_multimodal_policy,paired_sensor_shift,3,0.4524,0.0182,0.2497,0.0305,0.1772,0.0144,0.2660,0.0180,0.1673,0.0142,0.1966,0.0162,0.7633,0.0225,0.4884,0.0278,35
nominal_multimodal_policy,paired_sensor_shift,4,0.4442,0.0156,0.2626,0.0276,0.1694,0.0137,0.2724,0.0145,0.1731,0.0120,0.1901,0.0149,0.7621,0.0232,0.4848,0.0274,35
nominal_multimodal_policy,paired_sensor_shift,5,0.4354,0.0175,0.2762,0.0278,0.1731,0.0154,0.2493,0.0176,0.1629,0.0155,0.1922,0.0149,0.7626,0.0217,0.4872,0.0271,35
nominal_multimodal_policy,paired_sensor_shift,6,0.4548,0.0192,0.2718,0.0287,0.1741,0.0151,0.2673,0.0196,0.1650,0.0116,0.1983,0.0139,0.7630,0.0238,0.4869,0.0273,35
nominal_multimodal_policy,single_sensor_shift,0,0.4830,0.0199,0.2415,0.0247,0.1741,0.0193,0.2238,0.0165,0.2119,0.0168,0.1167,0.0107,0.7314,0.0194,0.4479,0.0228,35
nominal_multimodal_policy,single_sensor_shift,1,0.4748,0.0179,0.2520,0.0229,0.1680,0.0202,0.2224,0.0161,0.2187,0.0142,0.1207,0.0107,0.7321,0.0195,0.4489,0.0233,35
nominal_multimodal_policy,single_sensor_shift,2,0.4646,0.0187,0.2527,0.0282,0.1748,0.0209,0.2408,0.0154,0.2163,0.0150,0.1167,0.0106,0.7317,0.0192,0.4472,0.0232,35
nominal_multimodal_policy,single_sensor_shift,3,0.4646,0.0151,0.2418,0.0256,0.1582,0.0161,0.2167,0.0147,0.2204,0.0166,0.1177,0.0107,0.7299,0.0186,0.4463,0.0227,35
nominal_multimodal_policy,single_sensor_shift,4,0.4663,0.0190,0.2490,0.0234,0.1772,0.0162,0.2361,0.0146,0.2197,0.0147,0.1211,0.0121,0.7286,0.0199,0.4464,0.0231,35
nominal_multimodal_policy,single_sensor_shift,5,0.4595,0.0219,0.2527,0.0236,0.1799,0.0176,0.2282,0.0174,0.2207,0.0158,0.1173,0.0132,0.7324,0.0182,0.4486,0.0230,35
nominal_multimodal_policy,single_sensor_shift,6,0.4592,0.0171,0.2497,0.0224,0.1711,0.0183,0.2224,0.0160,0.2102,0.0159,0.1150,0.0117,0.7283,0.0191,0.4483,0.0232,35
oracle_failure_aware_policy,combined_stress,0,0.7415,0.0287,0.1503,0.0264,0.1051,0.0189,0.6497,0.0158,0.6840,0.0178,0.0354,0.0063,0.5131,0.0244,0.2952,0.0299,35
oracle_failure_aware_policy,combined_stress,1,0.7459,0.0292,0.1463,0.0295,0.0959,0.0133,0.6395,0.0168,0.6806,0.0173,0.0306,0.0060,0.5110,0.0244,0.2932,0.0307,35
oracle_failure_aware_policy,combined_stress,2,0.7211,0.0332,0.1503,0.0290,0.1071,0.0170,0.6364,0.0169,0.6697,0.0137,0.0354,0.0080,0.5140,0.0251,0.2953,0.0303,35
oracle_failure_aware_policy,combined_stress,3,0.7401,0.0318,0.1551,0.0308,0.1041,0.0137,0.6330,0.0185,0.6701,0.0167,0.0374,0.0074,0.5114,0.0259,0.2953,0.0301,35
oracle_failure_aware_policy,combined_stress,4,0.7384,0.0294,0.1571,0.0301,0.1020,0.0198,0.6286,0.0176,0.6745,0.0179,0.0320,0.0059,0.5104,0.0248,0.2940,0.0312,35
oracle_failure_aware_policy,combined_stress,5,0.7446,0.0287,0.1520,0.0320,0.0915,0.0169,0.6364,0.0213,0.6837,0.0176,0.0313,0.0064,0.5080,0.0240,0.2914,0.0308,35
oracle_failure_aware_policy,combined_stress,6,0.7262,0.0346,0.1534,0.0311,0.0956,0.0162,0.6422,0.0191,0.6673,0.0163,0.0371,0.0086,0.5107,0.0252,0.2933,0.0305,35
oracle_failure_aware_policy,delayed_sensor_recovery,0,0.7612,0.0276,0.1190,0.0275,0.0871,0.0140,0.6483,0.0206,0.6854,0.0228,0.0323,0.0066,0.5262,0.0219,0.2588,0.0257,35
oracle_failure_aware_policy,delayed_sensor_recovery,1,0.7605,0.0264,0.1143,0.0239,0.0755,0.0115,0.6565,0.0145,0.7031,0.0192,0.0340,0.0075,0.5276,0.0203,0.2598,0.0247,35
oracle_failure_aware_policy,delayed_sensor_recovery,2,0.7456,0.0264,0.1153,0.0266,0.0776,0.0145,0.6619,0.0195,0.7122,0.0165,0.0367,0.0082,0.5269,0.0210,0.2610,0.0247,35
oracle_failure_aware_policy,delayed_sensor_recovery,3,0.7558,0.0264,0.1173,0.0235,0.0823,0.0152,0.6575,0.0135,0.6874,0.0167,0.0344,0.0082,0.5310,0.0196,0.2621,0.0253,35
oracle_failure_aware_policy,delayed_sensor_recovery,4,0.7622,0.0243,0.1163,0.0257,0.0806,0.0158,0.6469,0.0156,0.6973,0.0153,0.0289,0.0058,0.5253,0.0215,0.2592,0.0251,35
oracle_failure_aware_policy,delayed_sensor_recovery,5,0.7619,0.0245,0.1153,0.0257,0.0789,0.0144,0.6449,0.0147,0.6840,0.0195,0.0361,0.0077,0.5180,0.0212,0.2596,0.0251,35
oracle_failure_aware_policy,delayed_sensor_recovery,6,0.7639,0.0234,0.1252,0.0262,0.0837,0.0156,0.6537,0.0162,0.6837,0.0163,0.0279,0.0074,0.5226,0.0205,0.2616,0.0248,35
oracle_failure_aware_policy,nominal,0,0.8289,0.0227,0.0629,0.0189,0.0449,0.0116,0.7027,0.0179,0.7721,0.0141,0.0241,0.0055,0.2728,0.0145,0.1534,0.0170,35
oracle_failure_aware_policy,nominal,1,0.8320,0.0188,0.0670,0.0133,0.0435,0.0112,0.7003,0.0150,0.7507,0.0185,0.0194,0.0052,0.2730,0.0137,0.1508,0.0172,35
oracle_failure_aware_policy,nominal,2,0.8119,0.0207,0.0670,0.0154,0.0466,0.0134,0.7116,0.0158,0.7585,0.0147,0.0228,0.0054,0.2712,0.0162,0.1534,0.0176,35
oracle_failure_aware_policy,nominal,3,0.8133,0.0195,0.0612,0.0163,0.0388,0.0089,0.7293,0.0184,0.7748,0.0152,0.0173,0.0050,0.2716,0.0142,0.1529,0.0176,35
oracle_failure_aware_policy,nominal,4,0.8150,0.0227,0.0677,0.0173,0.0452,0.0082,0.7296,0.0171,0.7694,0.0143,0.0238,0.0057,0.2711,0.0145,0.1520,0.0174,35
oracle_failure_aware_policy,nominal,5,0.8279,0.0160,0.0663,0.0194,0.0469,0.0107,0.7296,0.0156,0.7585,0.0174,0.0235,0.0059,0.2777,0.0161,0.1565,0.0179,35
oracle_failure_aware_policy,nominal,6,0.8173,0.0199,0.0578,0.0150,0.0500,0.0136,0.7071,0.0167,0.7765,0.0128,0.0231,0.0051,0.2697,0.0137,0.1534,0.0172,35
oracle_failure_aware_policy,paired_sensor_shift,0,0.7701,0.0280,0.1282,0.0230,0.0779,0.0158,0.6915,0.0179,0.7007,0.0147,0.0252,0.0079,0.3485,0.0234,0.2285,0.0275,35
oracle_failure_aware_policy,paired_sensor_shift,1,0.7680,0.0276,0.1184,0.0255,0.0769,0.0160,0.6932,0.0215,0.7058,0.0175,0.0313,0.0084,0.3523,0.0230,0.2299,0.0271,35
oracle_failure_aware_policy,paired_sensor_shift,2,0.7673,0.0281,0.1197,0.0242,0.0745,0.0131,0.6949,0.0193,0.7044,0.0181,0.0286,0.0055,0.3523,0.0239,0.2279,0.0271,35
oracle_failure_aware_policy,paired_sensor_shift,3,0.7687,0.0302,0.1163,0.0246,0.0813,0.0143,0.6850,0.0176,0.6949,0.0195,0.0289,0.0069,0.3583,0.0236,0.2316,0.0280,35
oracle_failure_aware_policy,paired_sensor_shift,4,0.7704,0.0261,0.1255,0.0280,0.0799,0.0155,0.6755,0.0178,0.6969,0.0157,0.0238,0.0061,0.3488,0.0238,0.2303,0.0281,35
oracle_failure_aware_policy,paired_sensor_shift,5,0.7619,0.0269,0.1228,0.0249,0.0782,0.0160,0.6690,0.0170,0.6959,0.0159,0.0293,0.0076,0.3538,0.0230,0.2298,0.0276,35
oracle_failure_aware_policy,paired_sensor_shift,6,0.7633,0.0302,0.1194,0.0244,0.0837,0.0144,0.6806,0.0173,0.7037,0.0163,0.0276,0.0054,0.3512,0.0245,0.2333,0.0274,35
oracle_failure_aware_policy,single_sensor_shift,0,0.7891,0.0243,0.1150,0.0234,0.0711,0.0156,0.6473,0.0130,0.7578,0.0128,0.0265,0.0046,0.3292,0.0190,0.2160,0.0228,35
oracle_failure_aware_policy,single_sensor_shift,1,0.7769,0.0248,0.1177,0.0250,0.0728,0.0132,0.6432,0.0153,0.7456,0.0145,0.0238,0.0054,0.3288,0.0174,0.2146,0.0231,35
oracle_failure_aware_policy,single_sensor_shift,2,0.7837,0.0273,0.1143,0.0260,0.0592,0.0132,0.6745,0.0158,0.7493,0.0139,0.0224,0.0054,0.3247,0.0191,0.2136,0.0234,35
oracle_failure_aware_policy,single_sensor_shift,3,0.7949,0.0233,0.1153,0.0260,0.0707,0.0155,0.6660,0.0142,0.7374,0.0171,0.0207,0.0055,0.3274,0.0185,0.2119,0.0230,35
oracle_failure_aware_policy,single_sensor_shift,4,0.7776,0.0263,0.1109,0.0205,0.0731,0.0148,0.6575,0.0220,0.7500,0.0188,0.0252,0.0063,0.3311,0.0181,0.2151,0.0227,35
oracle_failure_aware_policy,single_sensor_shift,5,0.8000,0.0239,0.1088,0.0199,0.0721,0.0140,0.6561,0.0171,0.7571,0.0144,0.0299,0.0068,0.3271,0.0183,0.2131,0.0230,35
oracle_failure_aware_policy,single_sensor_shift,6,0.7891,0.0223,0.1160,0.0219,0.0660,0.0129,0.6612,0.0156,0.7616,0.0140,0.0296,0.0062,0.3238,0.0196,0.2104,0.0236,35
proposed_sensor_failure_composition_model,combined_stress,0,0.6024,0.0298,0.1980,0.0299,0.1415,0.0185,0.4956,0.0147,0.5537,0.0185,0.1636,0.0130,0.6163,0.0266,0.4008,0.0309,35
